Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
147,Kenny Golladay (FA),6,17,81,13.5,25,1,1,0,0,0,0,6,17.1,2.9,4.0%
148,Anthony Schwartz (FA),4,10,51,12.8,19,0,0,4,57,1,1,7,16.8,2.4,0.0%
149,Samori Toure (CHI),5,10,82,16.4,37,2,1,0,0,0,0,4,16.7,4.2,0.0%
150,David Sills (ATL),11,17,106,9.6,24,1,0,0,0,0,0,7,16.1,2.3,0.0%
151,T.Y. Hilton (FA),7,10,121,17.3,52,2,0,0,0,0,0,3,15.6,5.2,1.6%
152,Jameson Williams (DET),1,9,41,41.0,41,1,1,1,40,0,0,6,14.6,2.4,91.3%
153,Marcus Johnson (FA),9,22,99,11.0,18,0,0,0,0,0,0,8,14.4,1.8,0.0%
154,Michael Bandy (DEN),10,21,89,8.9,25,2,0,0,0,0,0,8,13.9,1.7,0.0%
155,Cam Sims (FA),8,18,89,11.1,21,1,0,0,0,0,0,13,12.9,1.0,0.0%
156,Dax Milne (FA),6,7,37,6.2,12,0,1,0,0,0,0,15,12.7,0.8,0.0%
157,Jalen Virgil (BUF),2,5,75,37.5,66,1,1,0,0,0,1,7,12.5,1.8,0.0%
158,Brandon Johnson (PIT),6,14,42,7.0,12,0,1,0,0,0,1,5,11.2,2.2,1.0%
159,John Brown (FA),1,2,42,42.0,42,1,1,0,0,0,0,2,10.7,5.4,0.0%
160,Dee Eskridge (MIA),7,13,58,8.3,16,0,0,2,10,0,0,9,10.3,1.1,0.0%
161,Gunner Olszewski (NYG),5,7,53,10.6,31,1,0,8,39,0,1,15,9.7,0.6,0.0%
162,Freddie Swain (FA),4,6,74,18.5,52,1,0,0,0,0,0,3,9.4,3.1,0.0%
163,James Proche II (TEN),8,17,62,7.8,12,0,0,0,0,0,0,12,9.2,0.8,0.0%
164,Jamison Crowder (FA),6,13,60,10.0,16,0,0,0,0,0,0,4,9.0,2.3,1.0%
165,Trent Taylor (SF),6,10,62,10.3,34,1,0,4,15,0,1,16,8.7,0.5,0.0%
166,Jake Kumerow (FA),4,7,64,16.0,39,1,0,0,0,0,0,5,8.4,1.7,0.0%
167,Kevin White (FA),2,5,74,37.0,64,1,0,0,0,0,0,6,8.4,1.4,0.0%
168,Deven Thompkins (FA),5,10,32,6.4,13,0,0,2,26,0,0,5,8.3,1.7,0.0%
169,Andre Baccellia (ARI),7,10,45,6.4,11,0,0,0,0,0,0,7,8.0,1.1,0.0%
170,Kyle Philips (FA),8,13,78,9.8,21,2,0,0,0,0,2,4,7.8,2.0,0.0%
171,Michael Strachan (WAS),3,9,59,19.7,23,2,0,0,0,0,0,6,7.4,1.2,0.0%
172,Jalen Guyton (FA),2,4,64,32.0,54,1,0,0,0,0,0,2,7.4,3.7,0.0%
173,Laquon Treadwell (IND),6,10,42,7.0,17,0,0,0,0,0,0,3,7.2,2.4,0.0%
174,Cody Hollister (FA),3,5,54,18.0,27,2,0,0,0,0,0,6,6.9,1.2,0.0%
175,Mike Thomas (FA),2,10,38,19.0,33,1,0,0,0,0,0,5,6.8,1.4,0.0%
176,Chris Conley (FA),4,7,46,11.5,27,1,0,0,0,0,0,4,6.6,1.7,0.0%
177,Michael Woods II (FA),5,10,45,9.0,15,0,0,1,-5,0,0,8,6.5,0.8,0.0%
178,Cole Beasley (FA),6,8,35,5.8,9,0,0,0,0,0,0,5,6.5,1.3,0.0%
179,Racey McMath (FA),2,8,40,20.0,39,1,0,1,4,0,0,4,5.4,1.4,0.0%
180,Tylan Wallace (BAL),4,7,33,8.3,12,0,0,0,0,0,0,8,5.3,0.7,0.6%
181,Tim Jones (MIN),3,4,30,10.0,20,1,0,0,0,0,0,7,4.5,0.6,0.0%
182,Simi Fehoko (ARI),3,4,24,8.0,12,0,0,0,0,0,0,3,3.9,1.3,1.0%
183,Tyrie Cleveland (FA),2,7,28,14.0,16,0,0,0,0,0,0,5,3.8,0.8,0.0%
184,Jaelon Darden (FA),2,2,26,13.0,25,1,0,1,2,0,0,14,3.8,0.3,0.0%
185,Daylen Baldwin (FA),2,2,25,12.5,15,0,0,0,0,0,0,1,3.5,3.5,1.1%
186,Penny Hart (FA),3,4,20,6.7,15,0,0,0,0,0,0,3,3.5,1.2,0.0%
